"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","genus_nt_count","expected_bg_count","p_val"
"RR_hela1_25ng_SEQ000AOP_B03_S34",337042,1,333750,"Alphapapillomavirus 7","","viruses",33410509.8355624,100,99,1723.66125322311,89477,5,88446,99.9812,4442.37,302.546,0.00581288,0.0572502,NA,NA,100,1668.37433259825,86607,4,87264,99.9684,559.527,307.256,NA,NA,NA,NA,"",89477,5308.44831690905,0.000730796473396607
"RR_hela1_25ng_SEQ000AOP_B03_S34",10566,1,10566,"Human papillomavirus","","viruses",240643.398945438,99,66.1151690256233,3.75642840482478,195,NA,NA,97.4075,96.3731,49.6944,0.00708345,0.0567093,NA,NA,99,22.9238451371358,1190,1,1182,99.8713,93.6075,73.3507,0.00301324,0.021518,NA,NA,"",195,8.55387499836836,0.000121002668725227
"RR_hela1_25ng_SEQ000AOP_B03_S34",12475,1,39759,"Hepatitis delta virus","","viruses",7705.49416374314,100,100,0.385274708187157,20,1,20,100,213,107.55,NA,NA,NA,NA,100,0.385274708187157,20,1,20,81.429,70,35.1035,NA,NA,NA,NA,"",20,0.765891464383499,0.000106395872611418
"RR_hela1_25ng_SEQ000AOP_B03_S34",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",33.0392422245241,100,100,0.231164824912294,12,NA,NA,100,94,52.1348,NA,NA,NA,NA,100,0.26969229573101,14,1,8,67.647,35.8333,153.738,NA,NA,NA,NA,"",12,6.98618196405972,0.174768495440842
"RR_hela1_25ng_SEQ000AOP_O08_S127",337042,1,333750,"Alphapapillomavirus 7","","viruses",31365892.0271768,100,99,1613.63527222481,212969,3,211660,99.9735,4958.79,304.244,0.00581288,0.0572502,NA,NA,100,1570.77300243449,207312,2,209919,99.9926,653.84,307.643,NA,NA,NA,NA,"",212969,12307.6861169299,0.000632317783883186
"RR_hela1_25ng_SEQ000AOP_O08_S127",10566,1,10566,"Human papillomavirus","","viruses",135764.095971667,99,32.3420031693595,1.84117581033216,243,1,5,99.1428,87.8373,45.5293,0.00708345,0.0567093,NA,NA,99,13.6610699013534,1803,3,1758,99.3001,92.7465,72.7814,0.00301324,0.021518,NA,NA,"",243,19.8322376480577,0.00337756843918318
"RR_hela1_25ng_SEQ000AOP_O08_S127",12475,1,39759,"Hepatitis delta virus","","viruses",5303.79863058647,100,100,0.333381628208292,44,4,44,99.6463,368.643,219.638,NA,NA,NA,NA,100,0.196998234850355,26,3,26,98.2749,76.2857,31.3078,NA,NA,NA,NA,"",44,1.77572638566378,9.37497777383814e-05
"RR_hela1_25ng_SEQ000AOP_O08_S127",2170080,1,11095,"Pestivirus A","","viruses",1818.4452447725,100,100,0.0909222622386252,12,NA,NA,96.525,134.5,73.2286,NA,NA,NA,NA,100,0.0909222622386252,12,NA,NA,98.125,44.25,307.653,NA,NA,NA,NA,"",14,0.0953951086996735,8.92795246107572e-10
"RR_hela1_25ng_SEQ000AOP_O08_S127",2697049,1,694002,"Wuhan seafood market pneumonia virus","","viruses",4.93979611309754,100,100,0.159113958917594,21,NA,NA,93.1238,113.905,57.5809,NA,NA,NA,NA,100,0.196998234850355,26,1,17,51.2504,39.2,86.0978,NA,NA,NA,NA,"",21,16.1975269676299,0.222120264463269
"RR_hela1_25ng_SEQ003_B03_S34",337042,1,333750,"Alphapapillomavirus 7","","viruses",31757485.5989301,100,99,1626.65451950472,63528,1,62857,99.975,4993.07,305.301,0.00581288,0.0572502,NA,NA,100,1597.43885386508,62387,2,62867,99.9771,650.913,307.584,NA,NA,NA,NA,"",63528,3260.66999623572,0.000314470993669646
"RR_hela1_25ng_SEQ003_B03_S34",10566,1,10566,"Human papillomavirus","","viruses",404543.816969104,99,99,20.6890953872279,808,1,795,99.9527,285.025,147.525,0.00708345,0.0567093,NA,NA,99,20.5866741229347,804,1,795,99.9676,94.2394,70.739,0.00301324,0.021518,NA,NA,"",808,31.000701202653,4.08424925842721e-05
"RR_hela1_25ng_SEQ003_B03_S34",12475,1,39759,"Hepatitis delta virus","","viruses",3072.63792879622,100,100,0.204842528586415,8,NA,NA,96.7,131.833,72.9117,NA,NA,NA,NA,100,0.102421264293207,4,NA,NA,97.9333,48,307.653,NA,NA,NA,NA,"",8,0.168662630680734,1.15044815083614e-05
"RR_hela1_25ng_SEQ003_B03_S34",1891767,1,1891714,"Macaca mulatta polyomavirus 1","","viruses",153.271404621947,100,100,0.0512106321466037,2,NA,NA,100,146,87.6021,NA,NA,NA,NA,100,0.0512106321466037,2,NA,NA,100,48,307.653,NA,NA,NA,NA,"",2,0.00740528699547577,2.27296422950872e-06
