"variable","gene_name","coef"
"ENSG00000126709","IFI6",0.741967649710239
"ENSG00000137959","IFI44L",0.061014658568297
"ENSG00000185304","RGPD2",-0.194485651325628
"ENSG00000163884","KLF15",-0.0378783160270813
"ENSG00000156194","PPEF2",0.0330493602860614
"ENSG00000142731","PLK4",0.0102681151305964
"ENSG00000161055","SCGB3A1",-0.0743505195374563
"ENSG00000136205","TNS3",-0.106264243643795
"ENSG00000157680","DGKI",0.0659422945346849
"ENSG00000102265","TIMP1",-0.276750847700008
"ENSG00000067445","TRO",0.255030211819841
"ENSG00000147689","FAM83A",0.0816678922394047
"ENSG00000099139","PCSK5",0.016468601838404
"ENSG00000198788","MUC2",-0.0115756492487251
"ENSG00000148926","ADM",-0.141061354880268
"ENSG00000133316","WDR74",0.216051241327749
"ENSG00000205592","MUC19",0.0373228836149285
"ENSG00000257341","AL928654.3",-0.0858060294834266
"ENSG00000206172","HBA1",-0.0377914090052882
"ENSG00000188215","DCUN1D3",-0.167877614869403
"ENSG00000205609","EIF3CL",-0.0292616170541701
"ENSG00000171401","KRT13",-0.107122806719629
"ENSG00000198183","BPIFA1",0.00539191311965357
"ENSG00000105371","ICAM4",-0.150403790208413
"ENSG00000006016","CRLF1",-0.183208863420991
"ENSG00000254709","IGLL5",0.102788932921729
"ENSG00000258555","SPECC1L-ADORA2A",-0.0792658950605571
"(Intercept)",NA,-2.83448373472992
