"variable","gene_name","coef"
"(Intercept)",NA,-2.92300545815498
"RenormalizedAge",NA,-0.435887184844066
"RenormalizedGender",NA,0.118235375828774
"ENSG00000099139","PCSK5",0.00839407119000897
"ENSG00000115590","IL1R2",-0.0131497462829679
"ENSG00000125538","IL1B",-0.093794919689112
"ENSG00000126709","IFI6",0.402483129212571
"ENSG00000133316","WDR74",0.0491936147131395
"ENSG00000163209","SPRR3",-0.0135841434548055
"ENSG00000165949","IFI27",0.0940419545679606
"ENSG00000204544","MUC21",-0.00326041648629021
